,ds,floor,cap
0,2020-03-01,0,17368
1,2020-03-02,0,17368
2,2020-03-03,0,17368
3,2020-03-04,0,17368
4,2020-03-05,0,17368
5,2020-03-06,0,17368
6,2020-03-07,0,17368
7,2020-03-08,0,17368
8,2020-03-09,0,17368
9,2020-03-10,0,17368
10,2020-03-11,0,17368
11,2020-03-12,0,17368
12,2020-03-13,0,17368
13,2020-03-14,0,17368
14,2020-03-15,0,17368
15,2020-03-16,0,17368
16,2020-03-17,0,17368
17,2020-03-18,0,17368
18,2020-03-19,0,17368
19,2020-03-20,0,17368
20,2020-03-21,0,17368
21,2020-03-22,0,17368
22,2020-03-23,0,17368
23,2020-03-24,0,17368
24,2020-03-25,0,17368
25,2020-03-26,0,17368
26,2020-03-27,0,17368
27,2020-03-28,0,17368
28,2020-03-29,0,17368
29,2020-03-30,0,17368
30,2020-03-31,0,17368
31,2020-04-01,0,17368
32,2020-04-02,0,17368
33,2020-04-03,0,17368
34,2020-04-04,0,17368
35,2020-04-05,0,17368
36,2020-04-06,0,17368
37,2020-04-07,0,17368
38,2020-04-08,0,17368
39,2020-04-09,0,17368
40,2020-04-10,0,17368
41,2020-04-11,0,17368
42,2020-04-12,0,17368
43,2020-04-13,0,17368
44,2020-04-14,0,17368
45,2020-04-15,0,17368
46,2020-04-16,0,17368
47,2020-04-17,0,17368
48,2020-04-18,0,17368
49,2020-04-19,0,17368
50,2020-04-20,0,17368
51,2020-04-21,0,17368
52,2020-04-22,0,17368
53,2020-04-23,0,17368
54,2020-04-24,0,17368
55,2020-04-25,0,17368
56,2020-04-26,0,17368
57,2020-04-27,0,17368
58,2020-04-28,0,17368
59,2020-04-29,0,17368
60,2020-04-30,0,17368
61,2020-05-01,0,17368
62,2020-05-02,0,17368
63,2020-05-03,0,17368
64,2020-05-04,0,17368
65,2020-05-05,0,17368
66,2020-05-06,0,17368
67,2020-05-07,0,17368
68,2020-05-08,0,17368
69,2020-05-09,0,17368
70,2020-05-10,0,17368
71,2020-05-11,0,17368
72,2020-05-12,0,17368
73,2020-05-13,0,17368
74,2020-05-14,0,17368
75,2020-05-15,0,17368
76,2020-05-16,0,17368
77,2020-05-17,0,17368
78,2020-05-18,0,17368
79,2020-05-19,0,17368
80,2020-05-20,0,17368
81,2020-05-21,0,17368
82,2020-05-22,0,17368
83,2020-05-23,0,17368
84,2020-05-24,0,17368
85,2020-05-25,0,17368
86,2020-05-26,0,17368
87,2020-05-27,0,17368
88,2020-05-28,0,17368
89,2020-05-29,0,17368
90,2020-05-30,0,17368
91,2020-05-31,0,17368
92,2020-06-01,0,17368
93,2020-06-02,0,17368
94,2020-06-03,0,17368
95,2020-06-04,0,17368
96,2020-06-05,0,17368
97,2020-06-06,0,17368
98,2020-06-07,0,17368
99,2020-06-08,0,17368
100,2020-06-09,0,17368
101,2020-06-10,0,17368
102,2020-06-11,0,17368
103,2020-06-12,0,17368
104,2020-06-13,0,17368
105,2020-06-14,0,17368
106,2020-06-15,0,17368
107,2020-06-16,0,17368
108,2020-06-17,0,17368
109,2020-06-18,0,17368
110,2020-06-19,0,17368
111,2020-06-20,0,17368
112,2020-06-21,0,17368
113,2020-06-22,0,17368
114,2020-06-23,0,17368
115,2020-06-24,0,17368
116,2020-06-25,0,17368
117,2020-06-26,0,17368
118,2020-06-27,0,17368
119,2020-06-28,0,17368
120,2020-06-29,0,17368
121,2020-06-30,0,17368
122,2020-07-01,0,17368
123,2020-07-02,0,17368
124,2020-07-03,0,17368
125,2020-07-04,0,17368
126,2020-07-05,0,17368
127,2020-07-06,0,17368
128,2020-07-07,0,17368
129,2020-07-08,0,17368
130,2020-07-09,0,17368
131,2020-07-10,0,17368
132,2020-07-11,0,17368
133,2020-07-12,0,17368
134,2020-07-13,0,17368
135,2020-07-14,0,17368
136,2020-07-15,0,17368
137,2020-07-16,0,17368
138,2020-07-17,0,17368
139,2020-07-18,0,17368
140,2020-07-19,0,17368
141,2020-07-20,0,17368
142,2020-07-21,0,17368
143,2020-07-22,0,17368
144,2020-07-23,0,17368
145,2020-07-24,0,17368
146,2020-07-25,0,17368
147,2020-07-26,0,17368
148,2020-07-27,0,17368
149,2020-07-28,0,17368
150,2020-07-29,0,17368
151,2020-07-30,0,17368
152,2020-07-31,0,17368
153,2020-08-01,0,17368
154,2020-08-02,0,17368
155,2020-08-03,0,17368
156,2020-08-04,0,17368
157,2020-08-05,0,17368
158,2020-08-06,0,17368
159,2020-08-07,0,17368
160,2020-08-08,0,17368
161,2020-08-09,0,17368
162,2020-08-10,0,17368
163,2020-08-11,0,17368
164,2020-08-12,0,17368
165,2020-08-13,0,17368
166,2020-08-14,0,17368
167,2020-08-15,0,17368
168,2020-08-16,0,17368
169,2020-08-17,0,17368
170,2020-08-18,0,17368
171,2020-08-19,0,17368
172,2020-08-20,0,17368
173,2020-08-21,0,17368
174,2020-08-22,0,17368
175,2020-08-23,0,17368
176,2020-08-24,0,17368
177,2020-08-25,0,17368
178,2020-08-26,0,17368
179,2020-08-27,0,17368
180,2020-08-28,0,17368
181,2020-08-29,0,17368
182,2020-08-30,0,17368
183,2020-08-31,0,17368
184,2020-09-01,0,17368
185,2020-09-02,0,17368
186,2020-09-03,0,17368
187,2020-09-04,0,17368
188,2020-09-05,0,17368
189,2020-09-06,0,17368
190,2020-09-07,0,17368
191,2020-09-08,0,17368
192,2020-09-09,0,17368
193,2020-09-10,0,17368
194,2020-09-11,0,17368
